Time [s];Packet ID;Address;Data;Read/Write;ACK/NAK;
1.426.567.520.000.000;111;0x23;0x80;Read;NAK;
1.428.660.760.000.000;112;0x22;0x12;Write;ACK;
1.429.607.320.000.000;112;0x22;0x00;Write;ACK;
1.430.553.920.000.000;112;0x22;0x40;Write;ACK;
1.431.500.520.000.000;112;0x22;0x01;Write;ACK;
1.432.447.080.000.000;112;0x22;0x00;Write;ACK;
1.433.393.640.000.000;112;0x22;0x00;Write;ACK;
1.435.515.560.000.000;113;0x23;0x80;Read;NAK;
1.437.674.440.000.000;114;0x23;0x80;Read;NAK;
1.439.767.640.000.000;115;0x22;0x12;Write;ACK;
1.440.714.200.000.000;115;0x22;0x00;Write;ACK;
1.441.660.760.000.000;115;0x22;0x40;Write;ACK;
1.442.607.320.000.000;115;0x22;0x00;Write;ACK;
1.443.553.840.000.000;115;0x22;0x00;Write;ACK;
1.444.500.360.000.000;115;0x22;0x01;Write;ACK;
1.446.622.080.000.000;116;0x23;0x80;Read;NAK;
1.448.781.520.000.000;117;0x23;0x80;Read;NAK;
1.450.874.840.000.000;118;0x22;0x12;Write;ACK;
1.451.821.400.000.000;118;0x22;0x00;Write;ACK;
1.452.801.280.000.000;118;0x22;0x40;Write;ACK;
1.453.747.840.000.000;118;0x22;0x00;Write;ACK;
1.454.694.440.000.000;118;0x22;0x00;Write;ACK;
1.455.641.000.000.000;118;0x22;0x02;Write;ACK;
1.457.762.800.000.000;119;0x23;0x80;Read;NAK;
1.459.922.240.000.000;120;0x23;0x80;Read;NAK;
1.462.015.440.000.000;121;0x22;0x12;Write;ACK;
1.462.962.040.000.000;121;0x22;0x00;Write;ACK;
1.463.908.600.000.000;121;0x22;0x40;Write;ACK;
1.464.855.160.000.000;121;0x22;0x00;Write;ACK;
1.465.801.720.000.000;121;0x22;0x00;Write;ACK;
1.466.748.240.000.000;121;0x22;0x03;Write;ACK;
1.468.870.120.000.000;122;0x23;0x80;Read;NAK;
1.471.029.320.000.000;123;0x23;0x80;Read;NAK;
1.473.122.520.000.000;124;0x22;0x12;Write;ACK;
1.474.069.040.000.000;124;0x22;0x00;Write;ACK;
1.475.015.600.000.000;124;0x22;0x40;Write;ACK;
1.475.962.200.000.000;124;0x22;0x00;Write;ACK;
1.476.908.760.000.000;124;0x22;0x00;Write;ACK;
1.477.855.280.000.000;124;0x22;0x04;Write;ACK;
1.479.977.160.000.000;125;0x23;0x80;Read;NAK;
1.482.136.640.000.000;126;0x23;0x80;Read;NAK;
1.484.229.840.000.000;127;0x22;0x12;Write;ACK;
1.485.176.360.000.000;127;0x22;0x00;Write;ACK;
1.486.122.880.000.000;127;0x22;0x40;Write;ACK;
1.487.069.480.000.000;127;0x22;0x00;Write;ACK;
1.488.016.080.000.000;127;0x22;0x00;Write;ACK;
1.488.962.680.000.000;127;0x22;0x05;Write;ACK;
1.491.084.520.000.000;128;0x23;0x80;Read;NAK;
